,f_root,f_step,pic_lst,path,caption
18,f-DYVRK65Q,f-DYVRK65Q_step06_sent01,"['1328.jpg', '1330.jpg', '1332.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-DYVRK65Q/f-DYVRK65Q_step06_sent01_012,"[['an', 'assortment', 'of', 'cooking', 'including', 'an', 'meat,', 'cheese,', '<end>'], ['a', 'white', 'pan', 'that', 'has', 'six', '[UNK]', 'vegetables', 'on', 'the', 'table.', '<end>'], ['a', 'pile', 'of', 'six', 'little', 'pans', 'of', 'food', 'that', 'is', 'cooking', 'on', 'a', 'stove', '<end>']]"
19,f-DYVRK65Q,f-DYVRK65Q_step05_sent02,"['244.jpg', '242.jpg', '240.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-DYVRK65Q/f-DYVRK65Q_step05_sent02_003,"[['the', 'fried', '[UNK]', 'double', 'row', 'of', 'a', 'close', 'up', 'crowded', 'line', 'some', 'fried', 'vegetables', 'on', 'a', 'cutting', 'board', 'with', 'a', 'glass', 'of', 'an', 'oven', 'by', 'the', 'glass', 'of', 'a', 'metal', 'spoon.', '<end>'], ['a', 'dimly', 'lit', 'being', 'remodeled', 'with', 'banana', 'on', 'the', '[UNK]', 'near', 'a', 'glass', 'of', 'a', 'metal', 'spoon.', '<end>'], ['an', 'old', 'style', 'blender', 'filled', 'with', 'food', 'on', 'it', '<end>']]"
20,f-DYVRK65Q,f-DYVRK65Q_step05_sent02,"['1012.jpg', '1010.jpg', '1008.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-DYVRK65Q/f-DYVRK65Q_step05_sent02_000,"[['a', 'person', 'in', 'the', 'picture', 'of', 'a', 'half', 'of', 'a', 'homemade', 'cake', 'is', 'eating', 'at', 'a', 'counter', 'with', 'a', 'half', 'eaten', 'cake', 'on', 'the', 'counter', 'outside', 'of', 'the', 'table', 'outside', '<end>'], ['a', 'woman', 'wearing', 'grey', 'cake', 'on', 'them.', '<end>'], ['the', 'a', 'cake', 'surfer', '<end>']]"
21,f-DYVRK65Q,f-DYVRK65Q_step04_sent01,"['162.jpg', '164.jpg', '160.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-DYVRK65Q/f-DYVRK65Q_step04_sent01_000,"[['a', 'banana', 'sits', 'at', 'a', 'candle', 'on', 'a', 'table.', '<end>'], ['a', 'food', 'in', 'a', 'white', 'bunny', 'glass', 'vase', 'of', 'coffee', '[UNK]', '<end>'], ['a', 'close', 'up', 'picture', 'of', 'a', 'counter', 'in', 'a', 'knife', 'looking', 'at', 'a', 'mug', 'sits', 'in', 'front', 'of', 'a', 'bowl', 'on', 'the', 'table', 'next', 'to', 'a', 'food', '<end>']]"
22,f-DYVRK65Q,f-DYVRK65Q_step03_sent01,"['148.jpg', '150.jpg', '152.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-DYVRK65Q/f-DYVRK65Q_step03_sent01_000,"[['a', '[UNK]', 'vegetables', 'ready', 'to', 'eat.', '<end>'], ['a', 'white', 'bowl', 'filled', 'with', 'one', '[UNK]', 'on', 'a', 'plate.', '<end>'], ['a', 'bowl', 'filled', 'with', 'fresh', 'out', 'of', 'broccoli.', '<end>']]"
23,f-DYVRK65Q,f-DYVRK65Q_step02_sent01,"['92.jpg', '96.jpg', '94.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-DYVRK65Q/f-DYVRK65Q_step02_sent01_004,"[['the', 'stove', 'that', 'has', 'been', 'stove', 'and', 'a', 'picnic', 'stove', 'and', 'some', 'other', '<end>'], ['a', 'pot', 'and', 'cooking', 'on', 'top', 'of', 'a', 'drying', 'piled', 'with', 'a', 'meal', 'in', 'a', 'kitchen', 'somewhere.', '<end>'], ['a', 'pan', 'with', 'an', 'food', 'and', 'a', 'mashed', 'flowers', '<end>']]"
24,f-DYVRK65Q,f-DYVRK65Q_step01_sent03,"['400.jpg', '396.jpg', '398.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-DYVRK65Q/f-DYVRK65Q_step01_sent03_004,"[['there', 'are', 'many', 'potatoes', 'are', 'sitting', 'in', 'a', 'large', 'bowls', 'in', 'the', 'middle', 'of', 'some', 'water.', '<end>'], ['a', 'pile', 'of', '[UNK]', 'one', 'has', 'very', 'thick', 'vegetables.', '<end>'], ['the', 'fried', 'food', 'including', 'a', 'bunch', 'of', 'vegetables.', '<end>']]"
25,f-DYVRK65Q,f-DYVRK65Q_step01_sent02,"['350.jpg', '348.jpg', '352.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-DYVRK65Q/f-DYVRK65Q_step01_sent02_000,"[['an', 'upright', 'dark', 'colored', 'long', 'cup', 'lies', 'in', 'the', 'middle', 'of', 'a', 'chair.', '<end>'], ['an', 'uncooked', 'counter', 'top', 'holds', 'a', 'beverage', 'in', 'the', 'middle.', '<end>'], ['an', 'old', 'black', 'light', 'with', 'an', 'intersection.', '<end>']]"
26,f-DYVRK65Q,f-DYVRK65Q_step01_sent01,"['76.jpg', '78.jpg', '80.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-DYVRK65Q/f-DYVRK65Q_step01_sent01_000,"[['a', 'pan', 'filled', 'with', 'lots', 'of', 'food', 'including', '[UNK]', 'near', 'a', '[UNK]', '<end>'], ['closeup', 'of', 'a', '[UNK]', 'food', 'inside', 'of', 'microwave', '<end>'], ['a', 'red', 'white', 'plate', 'containing', 'a', 'close', 'up', 'of', 'a', 'fancy', 'picture', 'of', 'a', 'close', 'up', 'of', 'a', 'silver', 'oven', 'with', 'a', 'turkey', 'inside', 'of', 'a', 'bar', 'of', 'an', 'oven', '<end>']]"
27,f-CTV5KV7J,f-CTV5KV7J_step03_sent01,"['528.jpg', '526.jpg', '524.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-CTV5KV7J/f-CTV5KV7J_step03_sent01_000,"[['a', 'young', 'blonde', 'blonde', 'haired', 'woman', 'sitting', 'on', 'the', 'wall.', '<end>'], ['a', 'group', 'of', 'a', 'person', 'holding', 'a', 'large', 'bird', 'sits', 'by', 'some', 'plastic', 'cup.', '<end>'], ['a', 'bowl', 'full', 'of', 'banana', 'on', 'a', 'table.', '<end>']]"
28,f-CTV5KV7J,f-CTV5KV7J_step02_sent02,"['216.jpg', '214.jpg', '212.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-CTV5KV7J/f-CTV5KV7J_step02_sent02_005,"[['a', 'woman', 'in', 'a', 'kitchen', 'preparing', 'to', 'their', 'luggage', 'full', 'of', 'kitchen', 'setting', 'near', 'a', 'wooden', 'seat', '<end>'], ['a', 'man', 'in', 'a', 'hat', 'standing', 'next', 'to', 'each', 'other', '<end>'], ['a', 'man', 'holding', 'up', 'image', 'of', 'some', 'cake', 'with', 'a', 'special', '[UNK]', 'with', 'a', 't-shirt', 'and', 'a', 'green', 'jacket', 'watches', 'off', 'of', 'a', 'green', 'shirt.', '<end>']]"
29,f-CTV5KV7J,f-CTV5KV7J_step02_sent02,"['42.jpg', '44.jpg', '40.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-CTV5KV7J/f-CTV5KV7J_step02_sent02_000,"[['outdoor', 'plate', 'of', '[UNK]', 'and', 'fresh', 'vegetables', 'is', 'served', 'in', 'an', '[UNK]', 'table', 'with', 'a', 'spinach', 'and', 'onions.', '<end>'], ['a', 'bowl', 'of', 'fried', 'food,', 'looks', 'to', 'be', 'eaten', 'with', 'the', 'dinner', 'on', 'it.', '<end>'], ['a', 'salad', 'plates', 'of', 'meat.', 'onions,', '[UNK]', 'with', 'spinach', 'and', 'a', 'bowl', 'of', 'an', 'open', 'with', 'red', 'potatoes,', 'and', 'a', 'white', 'market', 'table', 'with', '[UNK]', 'items', 'on', 'it.', '<end>']]"
30,f-CTV5KV7J,f-CTV5KV7J_step01_sent01,"['358.jpg', '356.jpg', '360.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-CTV5KV7J/f-CTV5KV7J_step01_sent01_000,"[['a', 'knife', 'cutting', 'board', 'with', 'upper', 'part', 'of', 'something', '[UNK]', '<end>'], ['a', 'photo', 'of', 'a', 'large', 'pile', 'of', 'a', 'view', 'of', 'various', 'decorative', 'object', 'i', 'use', 'a', 'display', 'with', 'a', '[UNK]', 'face.', '<end>'], ['cluttered', 'oven', 'on', 'a', 'blender', 'full', 'of', 'bananas', 'on', 'a', 'display', 'while', 'sitting', 'together', 'in', 'a', '[UNK]', '<end>']]"
31,f-CKDLYDCR,f-CKDLYDCR_step06_sent02,"['100.jpg', '98.jpg', '96.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-CKDLYDCR/f-CKDLYDCR_step06_sent02_000,"[['an', 'industrial', '[UNK]', 'and', 'oranges.', '<end>'], ['an', '[UNK]', 'room', 'with', 'an', 'meat.', '<end>'], ['an', 'industrial', 'picture', 'of', 'a', 'tall', 'bowl', 'and', 'a', 'silver', 'bowl', 'and', 'tall', 'silver', 'and', 'black', 'cup', 'and', 'an', 'old', 'pile', 'of', 'a', 'stone', 'bowl', 'sitting', 'on', 'a', 'stove', 'with', 'a', 'stove', 'with', 'a', 'stove', 'with', 'tall', 'mostly', 'metal', 'pot.', '<end>']]"
32,f-CKDLYDCR,f-CKDLYDCR_step06_sent01,"['300.jpg', '298.jpg', '296.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-CKDLYDCR/f-CKDLYDCR_step06_sent01_000,"[['a', 'white', 'bowl', 'filled', 'with', 'bananas', 'next', 'to', 'some', 'of', 'water.', '<end>'], ['a', 'very', 'large', 'bouquet', 'of', 'some', 'very', 'meal', 'in', 'a', 'little', 'clean', 'line', '<end>'], ['there', 'are', 'many', 'lots', 'of', 'cooking', 'in', 'the', 'stove', 'in', 'a', 'drying', 'rack', 'in', 'a', 'stove', '<end>']]"
33,f-CKDLYDCR,f-CKDLYDCR_step05_sent02,"['434.jpg', '436.jpg', '432.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-CKDLYDCR/f-CKDLYDCR_step05_sent02_011,"[['closeup', 'of', 'a', 'close', 'up', 'of', 'food', 'that', 'is', 'sitting', 'on', 'a', 'rack.', '<end>'], ['picture', 'of', 'three', 'ski', 'with', 'food', 'on', 'the', '[UNK]', 'of', '[UNK]', '<end>'], ['an', '[UNK]', '[UNK]', 'filled', 'with', 'food', 'including', '[UNK]', '<end>']]"
34,f-CKDLYDCR,f-CKDLYDCR_step05_sent02,"['48.jpg', '46.jpg', '44.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-CKDLYDCR/f-CKDLYDCR_step05_sent02_002,"[['a', 'sheet', 'with', '[UNK]', 'near', 'some', 'people.', '<end>'], ['there', 'is', 'a', 'dish', 'filled', 'with', '[UNK]', '<end>'], ['a', 'sheet', 'with', 'water', 'in', 'a', 'kitchen', 'beneath', 'hanging', 'on', 'the', 'center', '<end>']]"
35,f-CKDLYDCR,f-CKDLYDCR_step05_sent02,"['26.jpg', '28.jpg', '24.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-CKDLYDCR/f-CKDLYDCR_step05_sent02_000,"[['a', 'pot', 'sit', 'on', 'a', '[UNK]', '<end>'], ['a', 'kitchen', 'holding', 'a', 'bunch', 'of', 'food', 'on', 'a', '[UNK]', 'with', '[UNK]', 'on', 'a', '[UNK]', '<end>'], ['a', 'picture', 'of', 'fresh', 'vegetables', 'cooking', 'in', 'a', 'stove', 'surrounded', 'by', 'a', 'pot', 'below.', '<end>']]"
36,f-CKDLYDCR,f-CKDLYDCR_step04_sent01,"['198.jpg', '196.jpg', '200.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-CKDLYDCR/f-CKDLYDCR_step04_sent01_000,"[['people', 'are', 'and', 'preparing', 'fresh', 'dish', 'with', '[UNK]', 'and', 'umpire', 'in', 'them.', '<end>'], ['this', 'is', 'some', 'food', 'with', '[UNK]', 'on', 'a', '[UNK]', 'and', 'several', 'other', 'food', 'served.', '<end>'], ['a', 'fresh', 'bananas.', '<end>']]"
37,f-CKDLYDCR,f-CKDLYDCR_step02_sent01,"['100.jpg', '96.jpg', '98.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-CKDLYDCR/f-CKDLYDCR_step02_sent01_019,"[['a', 'metal', 'sizes', 'and', 'oranges.', '<end>'], ['an', 'old', 'bowl', 'and', 'an', 'illuminated', 'itself', 'near', 'it', 'sitting', 'on', 'a', 'round', 'counter', 'in', 'city.', '<end>'], ['an', 'ocean', 'window', 'that', 'has', 'some', 'kitchen', 'next', 'to', 'a', 'stove', 'with', '[UNK]', 'oranges.', '<end>']]"
38,f-CKDLYDCR,f-CKDLYDCR_step01_sent02,"['76.jpg', '74.jpg', '72.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-CKDLYDCR/f-CKDLYDCR_step01_sent02_004,"[['an', 'oven', 'with', 'plaid', '[UNK]', 'with', 'a', 'mixture', 'of', 'food', 'including', 'an', 'oven', 'with', 'some', 'sort', 'sitting', 'inside', 'a', 'table.', '<end>'], ['a', 'stove', 'and', '[UNK]', 'on', 'a', 'rack.', '<end>'], ['an', 'image', 'of', 'a', 'silver', 'picture', 'of', 'a', 'silver', 'oven', 'with', 'a', 'pan', 'that', 'is', 'sitting', 'inside', 'it', '<end>']]"
39,f-CKDLYDCR,f-CKDLYDCR_step01_sent01,"['98.jpg', '100.jpg', '96.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-CKDLYDCR/f-CKDLYDCR_step01_sent01_005,"[['an', 'illuminated', 'light', 'positioned', 'around', 'some', 'stove', 'in', 'a', 'kitchen', 'with', '[UNK]', 'oranges.', '<end>'], ['a', 'wall', 'machines', 'are', 'stacked', 'on', 'some', 'stove', 'and', 'stove', 'in', 'a', 'stove', 'with', 'fish', 'and', 'on', 'it.', '<end>'], ['a', 'metal', 'bowl', 'and', 'tall', 'sculpture', 'sitting', 'on', 'a', 'stove', 'with', 'a', 'clean', 'dishes', 'in', 'water.', '<end>']]"
40,f-CKDLYDCR,f-CKDLYDCR_step01_sent01,"['130.jpg', '132.jpg', '128.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-CKDLYDCR/f-CKDLYDCR_step01_sent01_000,"[['a', 'man', 'in', 'a', 't-shirt', 'bunny', 'ears', 'on', 'display', 'and', 'putting', 'it', 'is', 'being', 'funny', 'face.', '<end>'], ['a', 'mirror', 'silver', 'sink', 'filled', 'showing', 'a', 'silver', 'cup.', 'steel', 'sink', 'filled', 'showing', 'the', 'inside', 'of', 'a', 'very', 'comfortable', '[UNK]', 'in', 'his', 'mouth.', '<end>'], ['asian', 'meal', 'of', 'cooking', 'in', 'a', 'stove', '<end>']]"
41,f-C5N57BZC,f-C5N57BZC_step05_sent01,"['76.jpg', '80.jpg', '78.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-C5N57BZC/f-C5N57BZC_step05_sent01_000,"[['closeup', 'of', 'a', 'hand', 'holding', 'a', 'hand', 'opening', 'a', 'hand', '<end>'], ['a', 'person', 'is', 'holding', 'a', 'knife', 'standing', 'in', 'the', 'oven', 'in', 'a', 'tall', 'buildings.', '<end>'], ['a', '[UNK]', 'this', 'laptop', 'is', 'sitting', 'on', 'an', 'surface.', '<end>']]"
42,f-C5N57BZC,f-C5N57BZC_step04_sent01,"['56.jpg', '54.jpg', '52.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-C5N57BZC/f-C5N57BZC_step04_sent01_003,"[['a', 'person', 'holding', 'a', 'close', 'up', 'picture', 'of', 'the', 'old', 'man', 'wearing', 'glasses', 'watches', 'at', 'the', '[UNK]', 'prepared', 'to', 'some', 'corn', 'in', 'a', 'bowl.', '<end>'], ['a', 'line', 'picture', 'picture', 'of', 'fresh', 'old', 'glass', 'eaten', 'pizza', 'sits', 'by', 'a', 'burger', 'cutting', 'board', 'with', 'a', 'pan.', '<end>'], ['an', 'old', 'army', 'persons', '[UNK]', 'on', 'a', 'plate', '<end>']]"
43,f-C5N57BZC,f-C5N57BZC_step03_sent04,"['440.jpg', '436.jpg', '438.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-C5N57BZC/f-C5N57BZC_step03_sent04_000,"[['a', 'person', 'standing', 'by', 'some', 'plates', 'of', 'chocolate', 'cake.', '<end>'], ['a', 'red', 'and', 'black', 'cakes', 'and', 'pans', 'that', 'is', 'placed', 'on', 'display', 'case', '<end>'], ['there', 'is', 'holding', 'a', 'remote', 'hanging', '<end>']]"
